,Unnamed: 0,Unnamed: 0.1,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,buffers_mode,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,datetime,longitude,latitude,distance_to_shore,datenum,dayofyear,month,year
0,0,0,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.39,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0383761958979487,1.1247955121543256e-06,7.1322379636679e-10,2.1967367047828732e-14,1.864439751347453e-09,0.1474264507000373,0.0028278436501929,0.0246900240785075,8.843928500194312e-07,9.324110101149951e-10,2.6525168006617727e-10,2.423652581311963e-10,2.091045326687482e-07,4.164872264383758e-07,6.504561474503284e-07,0.9963608735072216,0.9841325159668688,0.751653306,1e-07,1e-07,2011-06-26 02:03:00,2.5001,52.9938,61.48553676122412,15151.085416666667,177,6,2011
1,1,1,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.39,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0383761958979487,1.1247955121543256e-06,7.1322379636679e-10,2.1967367047828732e-14,1.864439751347453e-09,0.1474264507000373,0.0028278436501929,0.0246900240785075,8.843928500194312e-07,9.324110101149951e-10,2.6525168006617727e-10,2.423652581311963e-10,2.091045326687482e-07,4.164872264383758e-07,6.504561474503284e-07,0.9963608735072216,0.9841325159668688,0.751653306,1e-07,1e-07,2011-06-26 02:04:00,2.5003,52.9938,61.49738595567637,15151.086111111112,177,6,2011
2,2,2,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.39,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0383761958979487,1.1247955121543256e-06,7.1322379636679e-10,2.1967367047828732e-14,1.864439751347453e-09,0.1474264507000373,0.0028278436501929,0.0246900240785075,8.843928500194312e-07,9.324110101149951e-10,2.6525168006617727e-10,2.423652581311963e-10,2.091045326687482e-07,4.164872264383758e-07,6.504561474503284e-07,0.9963608735072216,0.9841325159668688,0.751653306,1e-07,1e-07,2011-06-26 02:05:00,2.5005,52.9938,61.50923581712757,15151.086805555555,177,6,2011
3,3,3,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:06:00,2.5008,52.9937,61.52177836959537,15151.0875,177,6,2011
4,4,4,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:07:00,2.5011,52.9937,61.53955746300256,15151.088194444445,177,6,2011
5,5,5,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:08:00,2.5013,52.9936,61.54618168932944,15151.08888888889,177,6,2011
6,6,6,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:09:00,2.5016,52.9936,61.563964827649954,15151.089583333332,177,6,2011
7,7,7,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:10:00,2.5019,52.9935,61.57652479530021,15151.090277777777,177,6,2011
8,8,8,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:11:00,2.5022,52.9935,61.594312469278016,15151.090972222222,177,6,2011
9,9,9,,2,,3,,,1,4,1,1,3,1,auto,34.0,14.4,0.0,0.0,403.8228571428572,9990.72485225402,66.3736728401282,,,27428.707443349835,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038364440347464,1.1250603548121746e-06,7.13499086512041e-10,2.198888008642308e-14,1.8649681663847607e-09,0.1473667623997745,0.0028272998319904,0.0246897096672486,8.845732102283089e-07,9.329162695799935e-10,2.653666179160548e-10,2.4256585333939704e-10,2.091883543921233e-07,4.16485295304439e-07,6.504394459848963e-07,0.9963613358228074,0.9841222439259047,0.751615895,1e-07,1e-07,2011-06-26 02:12:00,2.5025,52.9935,61.612101633530735,15151.091666666667,177,6,2011
